GENE	BF
APLP1	-9.831
APLP2	-4.401
APMAP	-4.458
APOA1	-7.917
APOA1BP	-8.065
APOA2	-12.478
APOA4	-7.584
APOA5	-10.570
APOB	-11.950
APOBEC1	-1.083
APOBEC2	-11.304
APOBEC3A	-13.361
APOBEC3B	-14.411
APOBEC3C	-10.708
APOBEC3D	-9.911
APOBEC3F	-10.095
APOBEC3G	-8.516
APOBEC3H	-9.774
APOBEC4	-2.273
APOBR	-0.804
APOC1	7.202
APOC3	-3.359
APOC4	-10.347
APOD	-10.070
APOE	-10.342
APOF	-0.829
APOH	-5.984
APOL1	-4.609
APOL2	-8.943
APOL3	-10.211
APOL4	-1.718
APOL5	-14.982
APOL6	-11.077
APOLD1	-6.228
APOM	-7.061
APOO	-12.518
APOOL	-5.363
APOPT1	-6.603
APP	-8.455
APPBP2	-9.040
APPL1	-8.876
APPL2	-9.481
APRT	-7.513
APTX	-4.808
AQP1	1.396
AQP10	-0.960
AQP11	-4.088
AQP2	-7.171
AQP3	-7.801
AQP4	-10.075
AQP5	-4.395
AQP6	-11.207
AQP8	-6.667
AQP9	-8.208
AQPEP	-0.642
AQR	12.386
AR	-8.494
ARAF	-14.402
ARAP1	-0.819
ARAP2	-14.694
ARAP3	-6.179
ARC	-5.190
ARCN1	18.625
AREL1	-3.791
ARF1	8.568
ARF3	7.021
ARF4	17.514
ARF5	-3.108
ARF6	-8.588
ARFGAP1	-8.457
ARFGAP2	1.210
ARFGAP3	-18.439
ARFGEF1	-3.948
ARFGEF2	-4.116
ARFIP1	-12.479
ARFIP2	-7.799
ARFRP1	6.398
ARG1	-3.909
ARG2	-11.092
ARGFX	-4.218
ARGLU1	7.413
ARHGAP1	-4.410
ARHGAP10	-8.917
ARHGAP11A	-3.186
ARHGAP12	-12.528
ARHGAP15	-14.722
ARHGAP17	-13.878
ARHGAP18	-1.822
ARHGAP19	-6.072
ARHGAP20	1.903
ARHGAP21	-14.229
ARHGAP22	-7.098
ARHGAP23	-11.220
ARHGAP24	-8.212
ARHGAP25	-14.536
ARHGAP26	-7.712
ARHGAP27	-0.479
ARHGAP28	-9.170
ARHGAP29	-19.371
ARHGAP30	-5.969
ARHGAP31	-9.933
ARHGAP32	-7.873
ARHGAP33	-0.041
ARHGAP35	-13.541
ARHGAP36	-12.548
ARHGAP39	-1.120
ARHGAP4	-3.866
ARHGAP42	3.202
ARHGAP44	-14.824
ARHGAP5	0.407
ARHGAP6	-11.580
ARHGAP8	-7.215
ARHGAP9	0.626
ARHGDIA	-0.946
ARHGDIB	-12.133
ARHGDIG	-4.641
ARHGEF1	-5.009
ARHGEF10	-14.572
ARHGEF10L	-11.280
ARHGEF11	-4.021
ARHGEF12	6.470
ARHGEF15	-6.355
ARHGEF16	-7.108
ARHGEF17	-0.141
ARHGEF18	-8.468
ARHGEF19	-8.621
ARHGEF2	-8.858
ARHGEF25	-6.475
ARHGEF26	0.529
ARHGEF28	-8.602
ARHGEF3	-6.407
ARHGEF33	-7.449
ARHGEF37	-7.828
ARHGEF38	-8.603
ARHGEF39	-5.315
ARHGEF4	-6.003
ARHGEF40	-4.541
ARHGEF5	2.187
ARHGEF6	-11.395
ARHGEF7	6.042
ARHGEF9	-7.323
ARID1A	-8.108
ARID1B	-9.728
ARID2	-5.339
ARID3A	-6.738
ARID3B	1.249
ARID3C	-10.750
ARID4A	-8.847
ARID4B	-11.651
ARID5A	-10.449
ARID5B	-1.764
ARIH1	-6.431
ARIH2	-12.876
ARIH2OS	-6.073
ARL1	-7.133
ARL10	2.340
ARL11	-5.948
ARL13A	-9.667
ARL13B	-0.097
ARL14	-4.974
ARL14EP	4.232
ARL15	-7.971
ARL16	-6.048
ARL2	19.554
ARL2BP	-0.181
ARL3	-6.784
ARL4A	1.175
ARL4C	1.242
ARL4D	-4.043
ARL5A	-7.945
ARL5B	-8.086
ARL5C	-6.807
ARL6	-11.756
ARL6IP1	-1.837
ARL6IP4	-6.036
ARL6IP5	-3.690
ARL6IP6	-7.619
ARL8A	-7.977
ARL8B	-2.141
ARL9	-1.001
ARMC1	-9.348
ARMC10	2.835
ARMC12	-8.772
ARMC2	-10.623
ARMC3	-5.580
ARMC4	-6.358
ARMC5	4.032
ARMC6	6.353
ARMC7	5.652
ARMC8	-11.907
ARMC9	-3.016
ARMCX1	-10.717
ARMCX2	-6.329
ARMCX3	-11.382
ARMCX4	-6.996
ARMCX5	-6.768
ARMCX6	0.327
ARMS2	-3.239
ARNT	-32.283
ARNT2	-10.706
ARNTL	-8.817
ARNTL2	-4.536
ARPC1A	-2.508
ARPC1B	0.697
ARPC2	5.902
ARPC3	12.468
ARPC4	14.868
ARPC5	2.025
ARPC5L	-1.806
ARPP19	-3.227
ARPP21	-5.571
ARR3	-12.198
ARRB1	-10.935
ARRB2	-13.102
ARRDC1	0.051
ARRDC2	-10.126
ARRDC3	-6.722
ARRDC4	-8.120
ARRDC5	-7.702
ARSA	-8.073
ARSB	-8.986
ARSD	-8.005
ARSE	-13.579
ARSF	-2.234
ARSG	-11.384
ARSH	-10.919
ARSI	2.076
ARSJ	-10.444
ARSK	-6.934
ART1	-6.944
ART3	-13.718
ART4	-9.865
ART5	-6.318
ARTN	-4.351
ARV1	-8.827
ARVCF	-12.934
ARX	-2.741
AS3MT	-3.959
ASAH1	-8.926
ASAH2	-5.660
ASAP1	-5.049
ASAP2	-15.479
ASAP3	-3.223
ASB1	-9.564
ASB10	-1.676
ASB11	-9.517
ASB12	-8.912
ASB13	-7.214
ASB14	-13.575
ASB15	-11.240
ASB16	-13.332
ASB17	-7.788
ASB18	-5.560
ASB2	-10.682
ASB4	-9.972
ASB5	-5.666
ASB6	-2.327
ASB7	-11.658
ASB8	-3.477
ASB9	-6.572
ASCC1	-3.780
ASCC2	-10.595
ASCC3	7.586
ASCL1	-12.361
ASCL2	-4.111
ASCL3	-6.304
ASCL4	-8.613
ASCL5	-8.570
ASF1A	-10.186
ASF1B	-4.062
ASGR1	-8.984
ASGR2	-7.665
ASH1L	-5.208
ASH2L	0.767
ASIC1	-1.592
ASIC2	-10.980
ASIC3	-4.238
ASIC4	-12.276
ASIC5	-7.502
ASIP	-3.447
ASL	-12.310
ASNA1	5.487
ASNS	6.127
ASNSD1	-8.514
ASPA	-9.648
ASPDH	-8.374
ASPG	-4.876
ASPH	-11.849
ASPHD1	-11.196
ASPHD2	-7.613
ASPM	-3.408
ASPN	-7.521
ASPRV1	-10.370
ASPSCR1	-6.811
ASRGL1	-6.982
ASS1	-5.137
ASTE1	-11.537
ASTL	-6.539
ASTN1	-4.220
ASTN2	-12.436
ASUN	10.760
ASXL1	-4.207
ASXL2	-1.427
ASXL3	-14.162
ASZ1	-4.579
ATAD1	1.799
ATAD2	-11.651
ATAD2B	-15.110
ATAD3A	-4.491
ATAD3B	-3.365
ATAD3C	-12.176
ATAD5	-6.462
ATAT1	-0.200
ATCAY	-7.922
ATE1	-3.728
ATF1	-1.950
ATF2	-8.966
ATF3	-5.615
ATF4	1.067
ATF5	-6.743
ATF6	-7.524
ATF6B	-10.712
ATF7	-4.025
ATF7IP	-5.859
ATF7IP2	-7.830
ATG10	-8.048
ATG12	4.192
ATG13	-3.815
ATG14	-4.676
ATG16L1	-5.053
ATG16L2	-10.428
ATG2A	-13.118
ATG2B	-5.865
ATG3	-4.497
ATG4A	-8.218
ATG4B	-10.981
ATG4C	-8.944
ATG4D	-13.008
ATG5	-8.628
ATG7	-12.941
ATG9A	-10.937
ATHL1	-0.108
ATIC	-6.686
ATL1	-5.069
ATL2	1.160
ATL3	-8.362
ATM	-11.624
ATMIN	7.089
ATN1	-4.891
ATOH1	-15.503
ATOH7	-6.118
ATOH8	-6.231
ATOX1	-11.480
ATP10A	-14.266
ATP10B	-7.777
ATP10D	-10.237
ATP11A	-10.030
ATP11B	-3.550
ATP11C	-11.208
ATP12A	-12.255
ATP13A1	-1.947
ATP13A2	-8.261
ATP13A3	-2.567
ATP13A4	-10.619
ATP13A5	-12.317
ATP1A1	-2.812
ATP1A2	-7.021
ATP1A3	-10.838
ATP1A4	-14.142
ATP1B1	-9.413
ATP1B2	-11.643
ATP1B3	-7.268
ATP1B4	-11.298
ATP2A1	-11.958
ATP2A2	13.321
ATP2A3	-6.909
ATP2B1	-14.947
ATP2B2	-8.352
ATP2B3	-7.389
ATP2B4	-6.341
ATP2C1	-14.080
ATP2C2	-7.689
ATP4A	-7.519
ATP4B	1.579
ATP5A1	16.458
ATP5B	11.327
ATP5C1	1.624
ATP5D	8.687
ATP5F1	2.729
ATP5G1	-0.424
ATP5G2	-6.114
ATP5G3	-8.717
ATP5H	5.841
ATP5I	-4.058
ATP5J	2.075
ATP5J2	-4.649
ATP5L	-3.866
ATP5L2	-4.871
ATP5O	16.147
ATP5S	-8.266
ATP5SL	-4.794
ATP6AP1	-0.069
ATP6AP1L	-3.152
ATP6AP2	13.858
ATP6V0A1	-2.606
ATP6V0A2	-6.893
ATP6V0A4	-7.433
ATP6V0B	0.734
ATP6V0C	8.292
ATP6V0D1	5.062
ATP6V0D2	-12.123
ATP6V0E1	-5.809
ATP6V0E2	-9.093
ATP6V1B1	-6.896
ATP6V1B2	17.005
ATP6V1C1	11.236
ATP6V1C2	-7.274
ATP6V1D	9.742
ATP6V1E1	7.929
ATP6V1E2	-7.938
ATP6V1F	13.786
ATP6V1G1	2.568
ATP6V1G2	-4.899
ATP6V1G3	-10.194
ATP6V1H	5.774
ATP7A	-9.597
ATP7B	-14.797
ATP8A1	-10.134
ATP8A2	-3.561
ATP8B1	-8.387
ATP8B2	-10.396
ATP8B3	-6.062
ATP8B4	-13.025
ATP9A	-5.249
ATP9B	-6.887
ATPAF1	-3.849
ATPAF2	0.378
ATPIF1	-7.440
ATR	-0.553
ATRAID	-8.823
ATRIP	7.732
ATRN	1.224
ATRNL1	-2.572
ATRX	-0.670
ATXN1	-1.492
ATXN10	-0.574
ATXN1L	-0.815
ATXN2	-5.632
ATXN2L	-11.876
ATXN3	-8.408
ATXN3L	-10.642
ATXN7	-13.872
ATXN7L1	-8.931
ATXN7L2	-6.579
ATXN7L3	11.155
ATXN7L3B	-4.152
AUH	-7.372
AUNIP	0.192
AUP1	-1.607
AURKA	20.009
AURKAIP1	9.267
AURKB	3.935
AURKC	-3.370
